Id,ProductCategory,Score,Summary,Text
1,Pet Food,4,Great quality and fast shipping,"Great quality and fast shipping, will definitely buy again"
2,Electronics Accessories,5,Excellent value for money,"Excellent value for money, highly recommend to everyone Really."
3,Beverages,5,Great quality and fast shipping,"Great quality and fast shipping, will definitely buy again Bought it last week."
4,Snacks,5,Perfect gift idea,"Perfect gift idea, everyone who tried it was impressed Just my honest opinion."
5,Kitchen Tools,2,Very disappointed with this purchase,"Very disappointed with this purchase, would not recommend"
6,Snacks,2,The taste was awful and the packaging wa,The taste was awful and the packaging was damaged Bought it last week.
7,Coffee & Tea,1,I regret buying this,"I regret buying this, it did not meet expectations at all Really."
8,Pet Food,5,Excellent value for money,"Excellent value for money, highly recommend to everyone Just my honest opinion."
9,Coffee & Tea,5,I absolutely love this product,"I absolutely love this product, it works perfectly and exceeded my expectations Really."
10,Electronics Accessories,5,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me Overall a solid experience."
11,Beverages,1,The taste was awful and the packaging wa,The taste was awful and the packaging was damaged Overall a solid experience.
12,Beverages,5,Great quality and fast shipping,"Great quality and fast shipping, will definitely buy again Just my honest opinion."
13,Pet Food,5,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me Overall a solid experience."
14,Beverages,3,It is okay,"It is okay, nothing special but does the job Just my honest opinion."
15,Pet Food,3,Does what it says,"Does what it says, nothing more nothing less"
16,Kitchen Tools,3,The product is acceptable but packaging ,The product is acceptable but packaging could be better Bought it last week.
17,Kitchen Tools,4,Great quality and fast shipping,"Great quality and fast shipping, will definitely buy again"
18,Kitchen Tools,4,Works exactly as described,"Works exactly as described, very happy with this purchase"
19,Pet Food,4,Great quality and fast shipping,"Great quality and fast shipping, will definitely buy again Just my honest opinion."
20,Electronics Accessories,3,It is fine for daily use,"It is fine for daily use, no major complaints Overall a solid experience."
21,Kitchen Tools,5,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me Overall a solid experience."
22,Electronics Accessories,2,Poor customer service and the product ar,Poor customer service and the product arrived late
23,Health Supplements,3,It works fine,"It works fine, though I expected a bit more Really."
24,Kitchen Tools,4,The best product I have tried so far,"The best product I have tried so far, will reorder soon Overall a solid experience."
25,Kitchen Tools,4,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me"
26,Coffee & Tea,5,I absolutely love this product,"I absolutely love this product, it works perfectly and exceeded my expectations Overall a solid experience."
27,Kitchen Tools,3,Not sure if I would buy this again,"Not sure if I would buy this again, it is just fine"
28,Kitchen Tools,4,Perfect gift idea,"Perfect gift idea, everyone who tried it was impressed Overall a solid experience."
29,Health Supplements,5,Super satisfied with the quality and the,Super satisfied with the quality and the price point Just my honest opinion.
30,Electronics Accessories,1,Waste of money,"Waste of money, does not work as advertised Overall a solid experience."
31,Pet Food,5,Excellent value for money,"Excellent value for money, highly recommend to everyone Bought it last week."
32,Coffee & Tea,2,Completely useless,"Completely useless, going to return it immediately Bought it last week."
33,Electronics Accessories,1,This is the worst product I have ever bo,This is the worst product I have ever bought Really.
34,Beverages,5,My family loves it,"My family loves it, we buy this every single month now Just my honest opinion."
35,Electronics Accessories,5,I absolutely love this product,"I absolutely love this product, it works perfectly and exceeded my expectations"
36,Beverages,5,This is amazing,"This is amazing, best purchase I have made this year Just my honest opinion."
37,Health Supplements,4,The best product I have tried so far,"The best product I have tried so far, will reorder soon Just my honest opinion."
38,Snacks,1,I regret buying this,"I regret buying this, it did not meet expectations at all Overall a solid experience."
39,Pet Food,5,Great quality and fast shipping,"Great quality and fast shipping, will definitely buy again Bought it last week."
40,Pet Food,4,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me"
41,Health Supplements,2,Completely useless,"Completely useless, going to return it immediately Really."
42,Electronics Accessories,4,I absolutely love this product,"I absolutely love this product, it works perfectly and exceeded my expectations Overall a solid experience."
43,Pet Food,1,I regret buying this,"I regret buying this, it did not meet expectations at all"
44,Kitchen Tools,5,My family loves it,"My family loves it, we buy this every single month now Bought it last week."
45,Electronics Accessories,3,Decent quality for the price,"Decent quality for the price, meets basic expectations Overall a solid experience."
46,Snacks,5,My family loves it,"My family loves it, we buy this every single month now Bought it last week."
47,Health Supplements,4,Perfect gift idea,"Perfect gift idea, everyone who tried it was impressed Overall a solid experience."
48,Skincare,4,I absolutely love this product,"I absolutely love this product, it works perfectly and exceeded my expectations"
49,Snacks,4,Works exactly as described,"Works exactly as described, very happy with this purchase Really."
50,Beverages,3,It works fine,"It works fine, though I expected a bit more Bought it last week."
51,Beverages,5,Great quality and fast shipping,"Great quality and fast shipping, will definitely buy again Just my honest opinion."
52,Electronics Accessories,5,My family loves it,"My family loves it, we buy this every single month now Really."
53,Electronics Accessories,5,Super satisfied with the quality and the,Super satisfied with the quality and the price point Bought it last week.
54,Coffee & Tea,5,Works exactly as described,"Works exactly as described, very happy with this purchase Bought it last week."
55,Kitchen Tools,5,Excellent value for money,"Excellent value for money, highly recommend to everyone Bought it last week."
56,Skincare,5,Works exactly as described,"Works exactly as described, very happy with this purchase Just my honest opinion."
57,Health Supplements,1,Not worth the price,"Not worth the price, quality is really bad Bought it last week."
58,Kitchen Tools,3,Average product,"Average product, not bad but not great either Really."
59,Snacks,1,Terrible quality,"Terrible quality, broke after just one use Overall a solid experience."
60,Kitchen Tools,4,Perfect gift idea,"Perfect gift idea, everyone who tried it was impressed Bought it last week."
61,Snacks,4,Perfect gift idea,"Perfect gift idea, everyone who tried it was impressed Really."
62,Kitchen Tools,3,Average product,"Average product, not bad but not great either"
63,Skincare,5,Great quality and fast shipping,"Great quality and fast shipping, will definitely buy again"
64,Kitchen Tools,4,Great quality and fast shipping,"Great quality and fast shipping, will definitely buy again Bought it last week."
65,Kitchen Tools,3,Not sure if I would buy this again,"Not sure if I would buy this again, it is just fine Just my honest opinion."
66,Health Supplements,4,My family loves it,"My family loves it, we buy this every single month now Really."
67,Coffee & Tea,2,The taste was awful and the packaging wa,The taste was awful and the packaging was damaged Just my honest opinion.
68,Beverages,5,Excellent value for money,"Excellent value for money, highly recommend to everyone"
69,Coffee & Tea,1,Completely useless,"Completely useless, going to return it immediately Overall a solid experience."
70,Snacks,5,The best product I have tried so far,"The best product I have tried so far, will reorder soon Just my honest opinion."
71,Coffee & Tea,5,Great quality and fast shipping,"Great quality and fast shipping, will definitely buy again"
72,Kitchen Tools,3,The product is acceptable but packaging ,The product is acceptable but packaging could be better
73,Health Supplements,1,The taste was awful and the packaging wa,The taste was awful and the packaging was damaged Really.
74,Electronics Accessories,5,This is amazing,"This is amazing, best purchase I have made this year Just my honest opinion."
75,Kitchen Tools,5,Works exactly as described,"Works exactly as described, very happy with this purchase Just my honest opinion."
76,Beverages,5,Great quality and fast shipping,"Great quality and fast shipping, will definitely buy again Just my honest opinion."
77,Snacks,5,I absolutely love this product,"I absolutely love this product, it works perfectly and exceeded my expectations Bought it last week."
78,Electronics Accessories,1,Terrible quality,"Terrible quality, broke after just one use Really."
79,Health Supplements,4,The best product I have tried so far,"The best product I have tried so far, will reorder soon Just my honest opinion."
80,Snacks,2,The taste was awful and the packaging wa,The taste was awful and the packaging was damaged Just my honest opinion.
81,Snacks,5,This is amazing,"This is amazing, best purchase I have made this year Just my honest opinion."
82,Health Supplements,5,The best product I have tried so far,"The best product I have tried so far, will reorder soon Overall a solid experience."
83,Health Supplements,4,Works exactly as described,"Works exactly as described, very happy with this purchase Just my honest opinion."
84,Pet Food,1,Waste of money,"Waste of money, does not work as advertised Really."
85,Snacks,4,Excellent value for money,"Excellent value for money, highly recommend to everyone"
86,Snacks,4,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me"
87,Electronics Accessories,5,Perfect gift idea,"Perfect gift idea, everyone who tried it was impressed Just my honest opinion."
88,Beverages,5,I absolutely love this product,"I absolutely love this product, it works perfectly and exceeded my expectations Bought it last week."
89,Beverages,5,This is amazing,"This is amazing, best purchase I have made this year"
90,Beverages,4,Excellent value for money,"Excellent value for money, highly recommend to everyone Just my honest opinion."
91,Snacks,2,The taste was awful and the packaging wa,The taste was awful and the packaging was damaged Bought it last week.
92,Coffee & Tea,5,Perfect gift idea,"Perfect gift idea, everyone who tried it was impressed"
93,Skincare,5,Perfect gift idea,"Perfect gift idea, everyone who tried it was impressed Bought it last week."
94,Skincare,5,Works exactly as described,"Works exactly as described, very happy with this purchase Really."
95,Coffee & Tea,5,Excellent value for money,"Excellent value for money, highly recommend to everyone Overall a solid experience."
96,Health Supplements,4,This is amazing,"This is amazing, best purchase I have made this year Overall a solid experience."
97,Snacks,4,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me"
98,Beverages,4,Super satisfied with the quality and the,Super satisfied with the quality and the price point Bought it last week.
99,Kitchen Tools,1,Terrible quality,"Terrible quality, broke after just one use Bought it last week."
100,Electronics Accessories,2,I regret buying this,"I regret buying this, it did not meet expectations at all Overall a solid experience."
101,Kitchen Tools,1,This is the worst product I have ever bo,This is the worst product I have ever bought
102,Electronics Accessories,5,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me Overall a solid experience."
103,Pet Food,4,Super satisfied with the quality and the,Super satisfied with the quality and the price point Bought it last week.
104,Snacks,4,Perfect gift idea,"Perfect gift idea, everyone who tried it was impressed Bought it last week."
105,Beverages,5,My family loves it,"My family loves it, we buy this every single month now Overall a solid experience."
106,Beverages,3,Decent quality for the price,"Decent quality for the price, meets basic expectations Overall a solid experience."
107,Electronics Accessories,4,Great quality and fast shipping,"Great quality and fast shipping, will definitely buy again Bought it last week."
108,Kitchen Tools,5,Works exactly as described,"Works exactly as described, very happy with this purchase Overall a solid experience."
109,Pet Food,3,The product is acceptable but packaging ,The product is acceptable but packaging could be better Really.
110,Pet Food,1,I regret buying this,"I regret buying this, it did not meet expectations at all Just my honest opinion."
111,Coffee & Tea,3,It is okay,"It is okay, nothing special but does the job"
112,Snacks,2,Poor customer service and the product ar,Poor customer service and the product arrived late
113,Pet Food,5,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me Really."
114,Coffee & Tea,5,This is amazing,"This is amazing, best purchase I have made this year Just my honest opinion."
115,Beverages,5,My family loves it,"My family loves it, we buy this every single month now"
116,Snacks,5,Great quality and fast shipping,"Great quality and fast shipping, will definitely buy again Really."
117,Electronics Accessories,5,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me Bought it last week."
118,Snacks,3,Does what it says,"Does what it says, nothing more nothing less Really."
119,Snacks,5,Works exactly as described,"Works exactly as described, very happy with this purchase Overall a solid experience."
120,Kitchen Tools,4,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me Really."
121,Coffee & Tea,5,Great quality and fast shipping,"Great quality and fast shipping, will definitely buy again Overall a solid experience."
122,Kitchen Tools,5,Perfect gift idea,"Perfect gift idea, everyone who tried it was impressed Really."
123,Coffee & Tea,4,This is amazing,"This is amazing, best purchase I have made this year Really."
124,Skincare,2,Very disappointed with this purchase,"Very disappointed with this purchase, would not recommend Really."
125,Pet Food,3,Does what it says,"Does what it says, nothing more nothing less Really."
126,Coffee & Tea,4,This is amazing,"This is amazing, best purchase I have made this year"
127,Kitchen Tools,5,I absolutely love this product,"I absolutely love this product, it works perfectly and exceeded my expectations Just my honest opinion."
128,Skincare,5,Excellent value for money,"Excellent value for money, highly recommend to everyone Just my honest opinion."
129,Kitchen Tools,1,Poor customer service and the product ar,Poor customer service and the product arrived late Really.
130,Coffee & Tea,4,I absolutely love this product,"I absolutely love this product, it works perfectly and exceeded my expectations Really."
131,Beverages,4,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me Overall a solid experience."
132,Coffee & Tea,3,Not sure if I would buy this again,"Not sure if I would buy this again, it is just fine Overall a solid experience."
133,Snacks,2,I regret buying this,"I regret buying this, it did not meet expectations at all Overall a solid experience."
134,Electronics Accessories,4,Great quality and fast shipping,"Great quality and fast shipping, will definitely buy again Overall a solid experience."
135,Snacks,5,Perfect gift idea,"Perfect gift idea, everyone who tried it was impressed Overall a solid experience."
