Order ID,Order Date,Region,Segment,Category,Sub-Category,Sales,Quantity,Discount,Profit
ORD-1000,2022-08-17,West,Consumer,Furniture,Bookcases,299.21,2,0.0,39.92
ORD-1001,2022-06-28,East,Consumer,Technology,Copiers,105.68,4,0.0,19.9
ORD-1002,2023-04-22,West,Home Office,Technology,Phones,813.7,4,0.3,74.94
ORD-1003,2024-07-08,East,Consumer,Technology,Accessories,179.13,6,0.3,-11.29
ORD-1004,2023-07-24,Central,Consumer,Furniture,Tables,249.87,7,0.0,-19.89
ORD-1005,2022-07-18,Central,Consumer,Office Supplies,Storage,59.17,2,0.4,-13.78
ORD-1006,2024-02-15,Central,Home Office,Furniture,Bookcases,93.47,2,0.1,-6.49
ORD-1007,2022-04-04,Central,Consumer,Technology,Machines,171.31,2,0.1,29.42
ORD-1008,2024-02-18,Central,Consumer,Office Supplies,Art,21.16,6,0.2,1.34
ORD-1009,2023-03-06,East,Home Office,Technology,Accessories,175.99,4,0.0,46.41
ORD-1010,2022-12-01,Central,Home Office,Office Supplies,Art,20.09,6,0.1,6.47
ORD-1011,2022-04-25,Central,Corporate,Furniture,Chairs,133.54,2,0.15,9.93
ORD-1012,2023-03-09,West,Home Office,Technology,Accessories,519.76,7,0.4,-102.13
ORD-1013,2024-07-28,West,Consumer,Furniture,Bookcases,1055.21,7,0.15,230.29
ORD-1014,2024-03-28,West,Home Office,Office Supplies,Binders,56.27,2,0.4,-1.66
ORD-1015,2022-04-07,West,Home Office,Furniture,Tables,84.24,2,0.3,-16.01
ORD-1016,2024-02-28,South,Home Office,Office Supplies,Labels,22.8,1,0.15,4.6
ORD-1017,2022-08-23,Central,Consumer,Technology,Accessories,103.55,7,0.15,9.44
ORD-1018,2022-11-20,Central,Home Office,Office Supplies,Paper,18.73,2,0.0,4.18
ORD-1019,2023-09-04,West,Corporate,Technology,Machines,443.94,1,0.0,113.88
ORD-1020,2023-10-26,East,Corporate,Office Supplies,Paper,16.02,4,0.15,0.61
ORD-1021,2022-04-29,East,Home Office,Furniture,Chairs,47.43,2,0.4,3.89
ORD-1022,2024-12-26,South,Home Office,Furniture,Tables,75.94,5,0.0,0.49
ORD-1023,2024-12-16,West,Home Office,Technology,Copiers,523.84,5,0.1,71.03
ORD-1024,2024-03-28,South,Home Office,Technology,Accessories,381.24,2,0.4,-48.58
ORD-1025,2023-05-23,Central,Consumer,Furniture,Chairs,554.83,4,0.1,78.0
ORD-1026,2022-01-15,West,Consumer,Furniture,Chairs,7.06,6,0.0,1.76
ORD-1027,2022-05-26,Central,Home Office,Technology,Machines,74.22,4,0.4,5.57
ORD-1028,2022-09-28,West,Corporate,Technology,Copiers,244.8,4,0.3,10.49
ORD-1029,2022-07-13,Central,Corporate,Furniture,Furnishings,105.16,8,0.3,9.39
ORD-1030,2022-04-21,East,Corporate,Technology,Phones,144.49,2,0.2,-1.48
ORD-1031,2023-05-25,South,Consumer,Furniture,Tables,300.18,3,0.3,41.72
ORD-1032,2023-07-25,East,Corporate,Office Supplies,Binders,21.44,1,0.0,4.54
ORD-1033,2022-01-31,West,Corporate,Furniture,Tables,517.39,8,0.4,-14.97
ORD-1034,2023-03-14,West,Corporate,Office Supplies,Paper,18.29,7,0.0,2.02
ORD-1035,2023-06-28,South,Home Office,Office Supplies,Storage,78.22,3,0.4,-6.65
ORD-1036,2023-01-24,East,Home Office,Office Supplies,Binders,33.47,6,0.0,4.08
ORD-1037,2022-04-28,West,Consumer,Furniture,Furnishings,150.8,3,0.0,17.39
ORD-1038,2022-05-21,West,Corporate,Technology,Phones,256.72,4,0.0,50.96
